depth,GR,LN(RES),NPHI,RHOB,FTEMP,FPRESS,SP
12321,65.3438,5.8163,0.266952,2.5228,218.4971,6464.523,58.3903
12321.5,60.9546,6.4648,0.25074,2.5019,218.5059,6464.786,58.3879
12322,56.3346,6.897,0.235456,2.4717,218.5146,6465.048,58.5399
12322.5,51.253,7.2982,0.22851,2.4461,218.5234,6465.311,58.5378
12323,47.7869,7.5498,0.242415,2.4174,218.5321,6465.573,58.6896
12323.5,42.7053,7.8224,0.253539,2.4019,218.5409,6465.835,58.9959
12324,41.7776,8.0382,0.256787,2.3941,218.5497,6466.097,59.3027
12324.5,44.773,8.0686,0.256328,2.3833,218.5584,6466.36,59.609
12325,49.6145,8.0062,0.254943,2.4003,218.5671,6466.622,59.4519
12325.5,52.1484,7.9437,0.254483,2.4126,218.5759,6466.884,59.2958
12326,53.5284,7.9122,0.252172,2.4203,218.5846,6467.146,59.7559
12326.5,54.217,7.8188,0.251249,2.4358,218.5934,6467.409,60.3709
12327,53.5191,7.7255,0.256815,2.435,218.6021,6467.671,61.1402
12327.5,54.6683,7.6491,0.254503,2.4225,218.6109,6467.934,61.2926
12328,57.4329,7.5388,0.252191,2.4271,218.6196,6468.196,60.9812
12328.5,59.9668,7.3836,0.249879,2.4503,218.6284,6468.458,60.5159
12329,58.1169,7.2593,0.248493,2.4565,218.6371,6468.721,60.3593
12329.5,50.2661,7.166,0.249425,2.4518,218.6459,6468.983,60.6661
12330,45.6461,7.1344,0.254062,2.4239,218.6546,6469.245,61.1262
12330.5,44.4876,7.0411,0.260089,2.3929,218.6634,6469.507,61.433
12331,44.483,6.9477,0.257314,2.3596,218.6721,6469.77,61.4302
12331.5,45.6322,6.9162,0.253149,2.3193,218.6809,6470.032,60.9649
12332,48.8584,6.9465,0.244351,2.31,218.6896,6470.294,60.654
12332.5,52.3153,7.1004,0.238795,2.3146,218.6984,6470.557,60.3435
12333,54.0061,7.3162,0.24297,2.3308,218.7071,6470.819,60.8037
12333.5,55.7676,7.5321,0.246218,2.3625,218.7159,6471.082,60.956
12334,54.8399,7.7786,0.242516,2.3989,218.7246,6471.344,61.1081
12334.5,53.2199,7.9635,0.236497,2.422,218.7334,6471.606,60.951
12335,57.5999,8.1174,0.236965,2.446,218.7421,6471.869,60.3314
12335.5,63.7132,8.1787,0.23419,2.47,218.7509,6472.131,59.7118
